Article Title,authors_processed,Abstract,keywords,Publication Year,Journal Abbreviation,research_areas,Funding_orgs_processed,is_ocp,fund_org_count,is_um6p,Cited Reference Count
Human Capital Index (HCI) - from uncertainty to robustness of comparisons,"['Abdelkhalek, T', ' Boccanfuso, D']","In order to monitor progress in human development within and between countries and over time, several simple and composite indices have been developed and are regularly used, particularly in public policy decision-making. In 2019, the World Bank adopted an index developed by Kraay (2018), the Human Capital Index (HCI), It combines demographic, education, and health dimensions on a complementary statistical and econometric basis. It is used by the World Bank in the area of human development for monitoring and comparison purposes, in time and space. Beyond the debate about the construction of the index itself in terms of weighting and aggregation, the HCI is subject to statistical and econometric uncertainties that are not adequately captured by comparisons and are therefore, not robust.ln this article, we propose a systematic approach taking into account these simultaneous uncertainties using a projection method. We present its practical implementation to construct confidence intervals to the HCI that reflect these uncertainties. It appears that if confidence intervals overlap for two countries or for the same country over time, then comparisons would be inconclusive regardless of the point estimates.","['Human Capital Index (HCI)', ' Uncertainty', ' Robustness', ' Comparisons', ' Projection method', 'COMPOSITE INDICATORS']",,APPL ECON,['Business & Economics'],[''],False,1,False,26
A holistic approach towards a more sustainable urban and port planning in tourist cities,"['Alberini, C']","Purpose This contribution aims to demonstrate that the adoption of a holistic approach to the development of infrastructures supporting the growth of cruise tourism can represent a trigger for a more sustainable urban and port planning in the Moroccan context. Although, along with this growth, there are global-local issues pertaining to sustainability and resilience that need to be addressed to support sustainable urban and social development of tourist cities. Design/methodology/approach Documents and literature review were used to develop an in-depth analysis related to the different fields involved in the proposed theoretical reflection. Scientific publications, data and international statistical reports have been used to validate the approach. Findings The work provides empirical insights to show the strengths of the country related to the sustainability, suggesting that they deserve to be integrated, involving urban planning, green energy transition, as well as the economic and social sustainability of tourism industry. Originality/value This paper aims to stimulate a debate among stakeholders and scholars involved on tourist port cities urban planning to avoid a silos approach and to favour a more sustainable infrastructure development process. In that sense, the paper fulfils the need to provide a basis to encourage the integration of different strategic topics and agenda concerning social and economic growth of tourist port cities.","['Cruise tourism', ' Urban planning', ' Infrastructures', ' Green port', ' Sustainability', ' Tourist cities', 'CRUISE TOURISM', ' IMPACT']",2021.0,INT J TOUR CITIES,['Social Sciences - Other Topics'],[''],False,1,False,39
Phosphorylated cellulose paper as highly efficient adsorbent for cadmium heavy metal ion removal in aqueous solutions,"['Ablouh, EH', ' Kassab, Z', ' Hassani, FZSA', ' El Achaby, M', ' Sehaqui, H']","In search for more effective and eco-friendly adsorbent materials, this study comprehensively investigated Cd2+ adsorption onto phosphorylated cellulose paper (PCP). For this, cellulose microfibers (CMF) was extracted from Alfa fibers and phosphorylated using the solid-state phosphorylation approach. Then, the prepared PCP samples were characterized by SEM, EDX, XRD, FTIR, TGA, conductometric titration and zeta potential measurement. The adsorption of cadmium ions, the effect of time, pH and Cd2+ initial concentration were systematically studied in batch experiments. Based on the results, the highest adsorption capacity achieved was 479 mg of Cd2+ per g of PCP, which was remarkable compared to other modified cellulose capacities cited in the literature. Furthermore, the Cd2+ removal mechanism was investigated based on characterization results before and after adsorption and also based on the kinetics results. It was concluded that cation exchange and electrostatic attraction between phosphorylated cellulose and the cadmium ion mainly dominated the adsorption process. These findings highlighted that the phosphorylated cellulose paper has a broad application prospect in removal of divalent metal from aquatic solution.","['ADSORPTION', ' COMPOSITE', ' WATER', ' NANOCOMPOSITES', ' LEAD']",2021.0,RSC ADV,['Chemistry'],['Moroccan Kingdom'],False,1,False,46
The Readiness Index for Climate Change Adaptation in Africa: The Role of Climate and Adaptive Capacity Proxies,"['Epule, TE', ' Chehbouni, A', ' Dhiba, D', ' Moto, MW']","As global changes continue, the repercussions in Africa remain profound. This is reflected notably in food and water crises across Africa. This work examines the readiness of Africa to climate change adaptation through a newly developed readiness index (ClimAdaptCap Index). In fact, this work shifts the readiness debate from emotional descriptions that currently flood academic scholarship to a more pragmatic evidence-based approach in assessing readiness. Readiness for climate change adaptation is driven by the intensity of climate forcing and adaptive capacity. The historical climate score data or precipitation and temperature for the period 1991-2016 were culled from the World Bank Climate Portal. The historical adaptive capacity score data included proxies such as poverty and literacy rates from 1991 to 2016 were collected from the World Bank and Macrotrends. The climate data were normalized using the normalization function to enhance interpretation, comparison, and fusion into the index. Missing poverty and literacy rate data were estimated by linear interpolation of the poverty and literacy rate data. The ClimAdaptCap Index was developed to compute readiness. This index is the first of its kind and will serve as a flagship for assessing readiness for climate change adaptation as it is highly adaptable to different contexts. This work's first-ever maps of readiness show that North and Southern Africa are the readiest for climate change adaptation under historical climate and literacy and poverty conditions. West Africa is the least ready while Middle and East Africa are in the middle. Consistent is that readiness has a positive correlation with literacy rates and an inverse one with poverty rates. In addition, with readiness scores of between 0.35 and 0.39 for all the regions with a maximum potential score of 1, this work has shown that the level of readiness in Africa is generally low, and there is a very small variation between the different regions. In addition, climate change adaptation will highly be influenced by both climatic and non-climatic indicators. The developed readiness index adequately simulates readiness to climate change adaptation in Africa and complements previous frameworks of adaptation preparedness.","['readiness index', ' climate change adaptation', ' adaptive capacity', ' climadaptcap index', ' Africa', 'NORTH-AFRICA', ' SOUTH-AFRICA', ' WEST-AFRICA', ' MIDDLE-EAST', ' RAINFALL', ' WETTER', ' VULNERABILITY', ' SAHEL', ' DROUGHT', ' TRENDS']",2021.0,APPL SCI-BASEL,"['Chemistry', ' Engineering', ' Materials Science', ' Physics']",['VI'],False,1,True,47
Contemporary Arabic Architecture: A Quest For a Sense of Regionalism,"['Radoine, H']","The quest for a regional architecture is a prevalent concern in the critical context of the Arab region. Despite the fast modernisation and urbanization, to sustain a sense of an architectural local character is persistent. Accordingly, local architects attempted to resolve the dichotomy of imported modern architecture vis-a-vis a traditional one deemed as authentic. This article focuses on the work of key architects who either endorsed the revival of the traditional as referential or strived to contextualize the modern. Despite some shortcomings, these architects generated unique theories and concepts throughout the Arab world. The conclusion discusses the relevance of a critical and constructive regionalismin the architectural practice in the region.","['Local architecture', ' Modernization', ' Conservation', ' Arabic architecture', ' Critical Regionalism']",2017.0,HESPERIS-TAMUDA,['Arts & Humanities - Other Topics'],[''],False,1,False,26
The Islamic Civitas of three Maghribi Cities: Analytical Approach of Urban Resilience,"['Radoine, H', ' Mrani, R']","This article highlights two seemingly divergent but fundamentally related points of view. The first concerns the Islamic city as a rational product of logical progression and stratification of endogenous urban and architectural facts. The second advocates the latter as the sum of exogenous elements. Therefore, this paper demonstrates that these two visions related to the successive horizontal temporal stratification and the sinusoidal intercontinental influences are two facets of the same coin, that of the contribution to the genesis and the evolution of the Islamic civitas. However, beyond the endogenous/exogenous dichotomy, and in addition to the functional necessities, the argumentation is made around the community characteristics, intrinsic to the Islamic city, which have particularly shaped the smart urban and architectural structure of the North-African heritage. In this sense, the spatial syntax of the socio-economic dynamics of these civitates is put at the heart of the subject, in correspondence with intercultural exchanges and their impact on the aesthetic, functional and environmental urban aspects, in contrast with any systemic organization based on orthogonal projections of heterogeneous urban and architectural elements. Hence, our case study focuses as well on the constants and variables that gave rise to the territorial phenomena of Islamic cities as an ecosystem centered on socio-cultural patterns of which the individual, the family, the neighborhood and the community are the basic elements that generated durability and resilience evidenced by temporal and functional continuity.","['Resilience', ' North Africa', ' Islamic City', ' Civitas', ' Urbanism']",2021.0,HESPERIS-TAMUDA,['Arts & Humanities - Other Topics'],[''],False,1,False,22
"Effect of Cadmium and Phosphorus Interaction on Tomato: Chlorophyll a Fluorescence, Plant Growth, and Cadmium Translocation","['Chtouki, M', ' Naciri, R', ' Soulaimani, A', ' Zeroual, Y', ' El Gharous, M', ' Oukarroum, A']","Cadmium (Cd) is considered one of the heavy metals disturbing plant biophysiological functions. The potential role of phosphorus (P) nutrition in the attenuation of Cd effects on photosynthetic efficiency, plant growth, and cadmium uptake has been investigated in hydroponically grown tomato. Two P nutrition regimes (P15: 15 mg l(-1); P30: 30 mg l(-1)) were assessed in the presence or absence of Cd (Cd0: 0 mu M; Cd25: 25 mu M of CdCl2). The results showed a positive effect of P30 concentration on leaf chlorophyll content and chlorophyll a fluorescence compared to P15 treatment under Cd stress (Cd25). The disturbance of electron transfer caused by Cd at K and I-steps of OJIP transient was attenuated with sufficient P supply. P30 enhanced the performance index of photosystem II and the efficiency of electron transfer to electron acceptor at PSI acceptor side. Besides, increased P concentration improved root growth parameters and biomass accumulation in the presence of Cd. It was found that root tissues accumulated more Cd than shoots and Cd translocation was reduced with increasing P concentration. Our results reveal that Cd-P interaction induced a cascade of physiological and chemical changes in plants. An optimal P nutrition can attenuate Cd stress on plant by the promotion of nitrogen and potassium uptake, which in return improved photosynthesis efficiency, enhanced biomass accumulation and distribution, and minimized Cd accumulation and translocation in plant tissues.","['Photosynthetic efficiency', ' Biomass production', ' Phosphorus', ' Root morphology', ' Nutrients uptake', 'BRASSICA-JUNCEA', ' PHOTOSYSTEM-II', ' STRESS', ' PHOTOSYNTHESIS', ' ACCUMULATION', ' TOLERANCE', ' TOXICITY', ' L.', ' MECHANISMS', ' CULTIVARS']",2021.0,WATER AIR SOIL POLL,"['Environmental Sciences & Ecology', ' Meteorology & Atmospheric Sciences', ' Water Resources']",[''],False,1,False,49
Wheat (Triticum aestivum) adaptability evaluation in a semi-arid region of Central Morocco using APSIM model,"['Briak, H', ' Kebede, F']","In this study, we evaluated the suitability of semi-arid region of Central Morocco for wheat production using Agricultural Production Systems sIMulator (APSIM) considering weather, soil properties and crop management production factors. Model calibration was carried out using data collected from field trials. A quantitative statistics, i.e., root mean square error (RMSE), Nash-Sutcliffe efficiency (NSE), and index of agreement (d) were used in model performance evaluation. Furthermore, series of simulations were performed to simulate the future scenarios of wheat productivity based on climate projection; the optimum sowing date under water deficit condition and selection of appropriate wheat varieties. The study showed that the performance of the model was fairly accurate as judged by having RMSE = 0.13, NSE = 0.95, and d = 0.98. The realization of future climate data projection and their integration into the APSIM model allowed us to obtain future scenarios of wheat yield that vary between 0 and 2.33 t/ha throughout the study period. The simulated result confirmed that the yield obtained from plots seeded between 25 October and 25 November was higher than that of sown until 05 January. From the several varieties tested, Hartog, Sunstate, Wollaroi, Batten and Sapphire were yielded comparatively higher than the locale variety Marzak. In conclusion, APSIM-Wheat model could be used as a promising tool to identify the best management practices such as determining the sowing date and selection of crop variety based on the length of the crop cycle for adapting and mitigating climate change.","['CLIMATE-CHANGE IMPACT', ' USE EFFICIENCY', ' WINTER-WHEAT', ' SOIL-WATER', ' CROPPING SYSTEMS', ' CORDEX-AFRICA', ' SOWING TIME', ' YIELD', ' MAIZE', ' NITROGEN']",2021.0,SCI REP-UK,['Science & Technology - Other Topics'],['OCP'],True,1,False,138
A curved beam model with the asymptotic expansion method,"['Ferradi, MK', ' Cespedes, X']","In our previous work (Ferradi, 2015, 2016) [7,10], a model reduction technique was proposed for straight beams with a constant cross-section, based on the asymptotic expansion method applied to the general 3D equilibrium equations. An iterative scheme was then deduced, where 2D cross section modes, representing the general form of the kinematic, were derived at each order. The following paper is an extension of the work in Ferradi (2015, 2016) [7,10] to the curved beam elements, where in addition to the asymptotic expansion method, the differential geometry tools are used. Thus, a new efficient and locking free beam model is derived from the asymptotic expansion method, capable of representing accurately the full 3D stress and the displacement field of the curved beam, even in the vicinity of external forces. In each example, the results are compared to those from a reference shell model of the same beam geometry.","['Curved beam', ' Asymptotic expansion method', ' Differential Geometry', ' Enriched beam model', 'ELEMENT']",2021.0,ENG STRUCT,['Engineering'],[''],False,1,False,20
Ranking Importance of Topographical Surface and Subsurface Parameters on Paludification in Northern Boreal Forests Using Very High Resolution Remotely Sensed Datasets,"['Laamrani, A', ' Valeria, O']","The accumulation of organic material on top of the mineral soil over time (a process called paludification) is common in Northern Boreal coniferous forests. This natural process leads to a marked decrease in forest productivity overtime. Topography both at the surface of the forest floor (i.e., above ground) and the subsurface (i.e., top of mineral soil which is underground) is known to play a critical role in the paludification process. Until recently, the availability of more accurate topographic information regarding the surface and subsurface was a limiting factor for land management and modeling of spatial organic layer thickness (OLT) variability, a proxy for paludification. However so far, no research has assessed which of these two topographic variables has the greatest influence on paludification. This study aims to assess which topographic variable (surface or subsurface) better explains paludification, using high-resolution remote sensing technology (i.e., Light Detection and Ranging: LiDAR and Ground Penetrating Radar: GPR). To this end, field soil measurements were made in over 1614 sites distributed throughout the reference Valrennes Experimental site in Canadian northern coniferous forests. Then, a machine learning model (i.e., Random Forest, RF) was implemented to rank a set of selected predictor topographic variables (i.e., slope, aspect, mean curvature, plan curvature, profile curvature, and topographic wetness index) using the Mean Decrease Gini (MDG) index as an indicator of importance. Results showed that overall 83% of the overall variance was explained by the RF selected model, while the derived subsurface topography predictors had the lowest MDGs for predicting paludification. On the other hand, the surface slope predictor had the highest MDGs and better explained paludification. This finding would be particularly useful for implanting sustainable management strategies based on the surface variables of paludified northern boreal forests. This study has also highlighted the potential of LiDAR data to provide surface topographic spatial detail information for planning and optimizing forest management activities in paludified boreal forests. This is even of great importance when we know that LiDAR variables are easier to obtain compared to GPR derived variables (subsurface topographic variables).","['random forest model', ' forest productivity', ' forest management', ' Clay Belt', ' LiDAR', ' mineral soil', ' Subsurface Digital Elevation Model (SUB-DEM)', ' Digital Terrain Model (DTM)', 'ORGANIC LAYER', ' SOIL-MOISTURE', ' PRODUCTIVITY', ' MANAGEMENT', ' THICKNESS', ' DYNAMICS', ' CANADA', ' FIRE']",2020.0,SUSTAINABILITY-BASEL,"['Science & Technology - Other Topics', ' Environmental Sciences & Ecology']","['FRQNT', 'NSERC', ' Tembec Inc', 'CRE', 'NSERC']",False,5,False,36
Effect of the composition and structure on the optical properties of Ba1-xLaxTi1-xFexO3 (0 <= x <= 1) solid solution: Correlation study using Rietveld refinement,"['El Bachraoui, F', ' Chchiyai, Z', ' Tamraoui, Y', ' Louihi, S', ' Alami, J', ' Manoun, B']","In this work, X-ray diffraction assisted with Rietveld refinement method was used to study the effect of the composition on the structural transitions and the optical properties of perovskite ABO(3)-type, prepared using the conventional solid state reaction technique. X-ray analysis indicates the ability of BaTiO3 to accommodate different percentages of La3+ cation in A-sites and Fe3+ cation in B-sites while maintaining the ABO(3)-type structure. Rietveld refinement method showed the existence of several phase transitions: a first from tetragonal (0 <= x <= 0.25) to cubic (0.3 <= x <= 0.6) and a second from cubic (0.3 <= x <= 0.6) to orthorhombic (0.7 <= x <= 1), with one tetragonal sub-transition (P4mm -> P4/mmm) and one orthorhombic sub-transition (Pnma -> Pbnm). The UV-vis analysis showed that BaTiO3 absorption band undergoes an expansion up to 592 nm as the amount of La3+ and Fe3+ increases. The structural investigation revealed that B-O-B bond angle has an effect on the band gap values as small values were found for bonds angles close to 180 degrees. As the amount of the substitution increases, a shift of both the conduction band minimum and valence band maximum was observed for all the compositions, which is consistent with the band gap values obtained.","['Perovskites', ' Co-substitution effect', ' Phase transition', ' Band gap', ' Visible light absorption', ' Conduction and valence band edges', 'BATIO3', ' BEHAVIOR']",2021.0,MATER CHARACT,"['Materials Science', ' Metallurgy & Metallurgical Engineering']","['VI', ' University Hassan 1st', 'OCP']",True,3,True,35
Marine current energy assessment and the hydrodynamic design of the hydrokinetic turbine for the Moroccan Mediterranean Coast,"['Hazim, S', ' Salih, A', ' Janan, MT', ' El Ouatouati, A', ' Ghennioui, A']","Generating electricity through renewable energies is growing increasingly to reduce the huge demand on electricity and the impact of fossil energies on the environment, the most common sources forms used are: the wind, the sun, the photovoltaic and the thermal, without forgetting hydropower by the bays of dams. Fortunately, 70% of our planet is covered by the seas and oceans, this area constitutes a huge potential for electricity production to be exploited. The scientific advances of recent years allow a better exploitation of these resources especially the marine current due to its reliability and predictability. The marine current energy is extracted using a hydrokinetic turbine (HKT) which transform the kinetic energy of water into an electrical energy. The exploitation of this resource needs in the first step the assessment of marine currents in the study area for implementing the HKT, and the second step is designing an adequate technology. The main goal of this study is the assessment of the marine current resource on the Moroccan Mediterranean coast to evaluate the suitable area to implement the HKT, and to determine the marine current speed intensities at different depths. As well as, to estimate an average potential existing in the site. Moreover, we will conduct a study based on the results of the assessment that was made to design a horizontal axis marine current turbine (HAMCT). Two hydrofoil profile were considered to design a HAMCT using the Blade Element Theory (BEM) and calculating their performances adapted to the site conditions Naca4415 and s8052. In addition, a comparison was made between this two HAMCT hydrofoil profile for deciding the best one for implementing in the studied area.","['Marine current resource assessment', ' Moroccan Mediterranean coast', ' Hydrokinetic turbine design', ' hydrofoil', ' BEM theory', 'GLOBAL WAVE ENERGY', ' RESOURCE ASSESSMENT', ' WIND', ' OPTIMIZATION', ' PERFORMANCE']",2021.0,ENERG EXPLOR EXPLOIT,['Energy & Fuels'],[''],False,1,False,43
